"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","@regression1 Verify click on no content link succeffully","chromium","Wed Oct 29 13:29:34 ICT 2025","skipped","Wed Oct 29 13:29:34 ICT 2025","DEMOQA Links Module","regression\elements\links.spec.js","",""
"","0","@regression Verify add data with invalid number format","chromium","Wed Oct 29 13:17:39 ICT 2025","skipped","Wed Oct 29 13:17:39 ICT 2025","DEMOQA Web tables Module","regression\elements\webTables.spec.js","",""
"","0","@regression Verify click on bad request link succeffully","firefox","Tue Oct 28 23:26:06 ICT 2025","skipped","Tue Oct 28 23:26:06 ICT 2025","DEMOQA Links Module","regression\elements\links.spec.js","",""
"","15751","@regression Verify Right Click Me button is working","firefox","Tue Oct 28 23:06:59 ICT 2025","failed","Tue Oct 28 23:07:15 ICT 2025","DEMOQA Button Module","regression\elements\buttons.spec.js","",""
"","0","@regression Verify input with invalid format email","firefox","Tue Oct 28 23:26:06 ICT 2025","skipped","Tue Oct 28 23:26:06 ICT 2025","DEMOQA Text Box Module","regression\elements\textBox.spec.js","",""
"","47389","@regression1 Verify click me button is working","chromium","Wed Oct 29 10:51:28 ICT 2025","passed","Wed Oct 29 10:52:15 ICT 2025","DEMOQA Button Module","regression\elements\buttons.spec.js","",""
"","16419","@regression1 Verify click on home link succeffully","chromium","Wed Oct 29 13:29:16 ICT 2025","failed","Wed Oct 29 13:29:32 ICT 2025","DEMOQA Links Module","regression\elements\links.spec.js","",""
"","10255","@regression Verify click on New Tab button successfully","firefox","Tue Oct 28 23:05:32 ICT 2025","passed","Tue Oct 28 23:05:42 ICT 2025","DEMOQA Browser Windows Module","regression\AWS\BrowserWindows.spec.js","",""
"","1","@regression Verify click on moved link succeffully","chromium","Tue Oct 28 23:26:06 ICT 2025","skipped","Tue Oct 28 23:26:06 ICT 2025","DEMOQA Links Module","regression\elements\links.spec.js","",""
"","0","@regression1 Verify click on Not Found link succeffully","webkit","Wed Oct 29 13:29:34 ICT 2025","skipped","Wed Oct 29 13:29:34 ICT 2025","DEMOQA Links Module","regression\elements\links.spec.js","",""
"","26615","@regression1 Verify add data with invalid number format","chromium","Tue Oct 28 23:15:32 ICT 2025","passed","Tue Oct 28 23:15:58 ICT 2025","DEMOQA Web tables Module","regression\elements\webTables.spec.js","",""
"","0","@regression Verify add data with invalid email","chromium","Wed Oct 29 13:17:39 ICT 2025","skipped","Wed Oct 29 13:17:39 ICT 2025","DEMOQA Web tables Module","regression\elements\webTables.spec.js","",""
"","0","@regression1 Verify click on Not Found link succeffully","chromium","Wed Oct 29 13:29:34 ICT 2025","skipped","Wed Oct 29 13:29:34 ICT 2025","DEMOQA Links Module","regression\elements\links.spec.js","",""
"","0","@regression1 Verify click on created link succeffully","chromium","Wed Oct 29 13:29:34 ICT 2025","skipped","Wed Oct 29 13:29:34 ICT 2025","DEMOQA Links Module","regression\elements\links.spec.js","",""
"","0","@regression Verify selected Impressive button","firefox","Tue Oct 28 23:26:06 ICT 2025","skipped","Tue Oct 28 23:26:06 ICT 2025","DEMOQA Radio Button Module","regression\elements\radioButton.spec.js","",""
"","22000","@regression1 Verify edit with invalid email format","webkit","Tue Oct 28 23:16:30 ICT 2025","passed","Tue Oct 28 23:16:52 ICT 2025","DEMOQA Web tables Module","regression\elements\webTables.spec.js","",""
"","0","@regression Verify add data with empty textfield","firefox","Tue Oct 28 23:26:06 ICT 2025","skipped","Tue Oct 28 23:26:06 ICT 2025","DEMOQA Web tables Module","regression\elements\webTables.spec.js","",""
"","1","@regression Verify add valid data succefully","webkit","Tue Oct 28 23:26:06 ICT 2025","skipped","Tue Oct 28 23:26:06 ICT 2025","DEMOQA Web tables Module","regression\elements\webTables.spec.js","",""
"","1","@regression Verify input with invalid format email","chromium","Wed Oct 29 13:17:39 ICT 2025","skipped","Wed Oct 29 13:17:39 ICT 2025","DEMOQA Text Box Module","regression\elements\textBox.spec.js","",""
"","0","@regression1 Verify click on moved link succeffully","webkit","Wed Oct 29 13:29:34 ICT 2025","skipped","Wed Oct 29 13:29:34 ICT 2025","DEMOQA Links Module","regression\elements\links.spec.js","",""
"","21027","@regression1 Verify add data with invalid email","webkit","Tue Oct 28 23:15:11 ICT 2025","passed","Tue Oct 28 23:15:32 ICT 2025","DEMOQA Web tables Module","regression\elements\webTables.spec.js","",""
"","0","@regression Verify Right Click Me button is working","webkit","Tue Oct 28 20:04:55 ICT 2025","skipped","Tue Oct 28 20:04:55 ICT 2025","DEMOQA Button Module","regression\elements\buttons.spec.js","",""
"","0","@sanity Verify add new valid data successfully","chromium","Tue Oct 28 23:26:06 ICT 2025","skipped","Tue Oct 28 23:26:06 ICT 2025","DEMOQA Text Box Module","sanaty\elements\textBoxSanity.spec.js","",""
"","0","@regression Verify add data with empty textfield","webkit","Tue Oct 28 23:26:06 ICT 2025","skipped","Tue Oct 28 23:26:06 ICT 2025","DEMOQA Web tables Module","regression\elements\webTables.spec.js","",""
"","0","@regression Verify click on bad request link succeffully","webkit","Tue Oct 28 23:26:06 ICT 2025","skipped","Tue Oct 28 23:26:06 ICT 2025","DEMOQA Links Module","regression\elements\links.spec.js","",""
